"ID","Paper","System","D1","D2","D3","D4","D5","D6","D7"
"18","Agarwal et al.~\cite{promptwizard2024}","PromptWizard","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"19","White et al.~\cite{white2023prompt}","Prompt Pattern Catalog","Ablation","Multi-task","Task-specific","Manual","Single-model","NR","NR"
"20","Dong et al.~\cite{dong2022survey}","In-Context Learning","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"21","Zhou et al.~\cite{zhou2022ape}","APE","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"22","Pryzant et al.~\cite{pryzant2023apo}","APO","Benchmark","Multi-task","Task-specific","Automated","Single-model","Sng","AR"
"23","Deng et al.~\cite{rlprompt2022}","RLPrompt","Benchmark","Multi-task","Task-specific","Automated","Single-model","Sng","AR"
"24","Li et al.~\cite{li2025autoprompt}","Auto Prompt Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"25","Ramnath et al.~\cite{ramnath2025apo}","Auto Prompt Opt.\ Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"26","He et al.~\cite{contextengineer2025}","Context Engineering","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"27","Schulhoff et al.~\cite{schulhoff2024prompt}","The Prompt Report","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"28","Sahoo et al.~\cite{sahoo2024systematic}","PE Techniques Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"29","Vatsal \& Dubey~\cite{vatsal2024survey}","PE Methods Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"30","Wen et al.~\cite{pettax2025}","PE Taxonomy","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"31","Sasaki et al.~\cite{petaxse2025}","PE Patterns (SE)","Benchmark","Code","Task-specific","Automated","Cross-domain","NR","NR"
"32","Tian et al.~\cite{petaxdefects2025}","Prompt Defect Taxonomy","Ablation","Code","Task-specific","Manual","Single-model","NR","NR"
"33","Chang et al.~\cite{chang2023survey}","LLM Evaluation Survey","Human eval","Multi-task","Hybrid","Human-in-loop","Cross-domain","NR","NR"
"34","Guo et al.~\cite{guo2023evaluating}","LLM Eval.\ Comprehensive","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"35","Ni et al.~\cite{ni2025benchmarks}","LLM Benchmark Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"36","Mohammadi et al.~\cite{mohammadi2025agents}","LLM Agent Eval.\ Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"37","Gururangan et al.~\cite{inadequatebenchmarks2024}","Benchmark Adequacy","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"38","Polo et al.~\cite{benchmark2sq2026}","Benchmark$^2$","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","MAg","AR"
"39","Zhao et al.~\cite{explainabilityllm2023}","LLM Explainability","Human eval","Multi-task","Hybrid","Human-in-loop","Cross-domain","NR","NR"
"40","Wang et al.~\cite{wang2018glue}","GLUE","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","Sng","AR"
"41","Wang et al.~\cite{wang2019superglue}","SuperGLUE","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","Sng","AR"
"42","Srivastava et al.~\cite{srivastava2022bigbench}","BIG-Bench","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"43","Hendrycks et al.~\cite{hendrycks2021measuring}","MMLU","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","Sng","AR"
"44","Suzgun et al.~\cite{cot_benchmark2022}","BIG-Bench Hard","Benchmark","Reasoning","Task-specific","Automated","Cross-dataset","Sng","AR"
"45","Zhu et al.~\cite{promptbench2023}","PromptBench","Benchmark","Multi-task","Task-specific","Automated","Cross-model","SB","AR"
"46","Wang et al.~\cite{mmluprob2024}","MMLU-Pro","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","Sng","AR"
"47","Lin et al.~\cite{wildbench2024}","WildBench","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","CC+AR"
"48","Gao et al.~\cite{ragsurvey2023}","RAG Survey","Benchmark","QA","Task-specific","Automated","Cross-domain","NR","NR"
"49","Zheng et al.~\cite{zheng2023judging}","MT-Bench / Chatbot Arena","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","JP+AR"
"50","Dubois et al.~\cite{dubois2024alpacaeval}","AlpacaEval 2.0","LLM-as-Judge","Generation","LLM-judge","Automated","Cross-model","Sng","JP+AR"
"51","Liu et al.~\cite{liu2023geval}","G-Eval","LLM-as-Judge","Generation","LLM-judge","Hybrid","Cross-model","Sng","JP+AR"
"52","Gu et al.~\cite{gu2025llmjudge}","LLM-as-Judge Survey","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-domain","NR","NR"
"53","Li et al.~\cite{li2024llmsjudges}","LLM Judge Survey","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-domain","NR","NR"
"54","Feng et al.~\cite{feng2025sage}","SAGE","LLM-as-Judge","Multi-task","LLM-judge","Hybrid","Cross-model","MAg","JP+AR"
"55","Tan et al.~\cite{judgebench2024}","JudgeBench","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","JP+AR"
"56","Ye et al.~\cite{llmvshuman2024}","LLMs vs.\ Humans Study","LLM-as-Judge, Human","Multi-task","LLM-judge","Hybrid","Cross-model","Sng","AR"
"57","Calderon et al.~\cite{alternativeannotator2025}","Alternative Annotator","LLM-as-Judge, Human","Multi-task","LLM-judge","Hybrid","Cross-model","MAg","AR"
"58","Chen et al.~\cite{multiagentjudge2025}","MAJ-EVAL","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-domain","MAg","AR"
"59","Yang et al.~\cite{llmjudgestudy2024}","LLM Judge Empirical","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"60","Ye et al.~\cite{humansorllm2024}","Judgement Bias Study","LLM-as-Judge, Human","Multi-task","LLM-judge","Hybrid","Cross-model","Sng","AR"
"61","Panickssery et al.~\cite{judgingjudges2024}","Judging the Judges","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","Sng","AR"
"62","Chiang et al.~\cite{canlllmsreplace2023}","Can LLMs Replace Humans","LLM-as-Judge, Human","Generation","LLM-judge","Hybrid","Single-model","Sng","AR"
"63","Min et al.~\cite{factscore2023}","FActScore","LLM-as-Judge","Generation","LLM-judge","Hybrid","Cross-model","Sng","AR"
"64","Xu et al.~\cite{instructscore2023}","InstructScore","LLM-as-Judge","Generation","LLM-judge","Automated","Cross-model","Sng","AR"
"65","Es et al.~\cite{rageval2024}","RAGAs","Benchmark","QA","Task-specific","Automated","Single-model","Sng","AR"
"66","Gehrmann et al.~\cite{repairing2022}","NLG Eval.\ Survey","Human eval","Generation","Model-based","Human-in-loop","Cross-domain","NR","NR"
"67","Zhong et al.~\cite{multidimeval2022}","Multi-Dim.\ Evaluator","Human eval","Generation","Hybrid","Hybrid","Cross-model","Sng","AR"
"68","Yu et al.~\cite{beyondpointwise2025}","DeCE","LLM-as-Judge","QA","LLM-judge","Automated","Cross-model","Sng","AR"
"69","Farquhar et al.~\cite{semanticentropy2024}","Semantic Entropy","Benchmark","QA","Task-specific","Automated","Cross-model","Sng","AR"
"70","Gao et al.~\cite{nlgevalstatus2024}","NLG Eval Status","LLM-as-Judge","Generation","LLM-judge","Automated","Cross-domain","NR","NR"
"71","Ram et al.~\cite{incalm2023}","In-Context RAG","Benchmark","QA","Task-specific","Automated","Cross-model","Sng","AR"
"72","Sclar et al.~\cite{sclar2023formatting}","Prompt Format Sensitivity","Benchmark","Multi-task","Task-specific","Automated","Cross-model","SB","AR"
"73","Razavi et al.~\cite{promptsensitivity2025}","PromptSET","Benchmark","QA","Task-specific","Automated","Cross-model","SB","AR"
"74","Salinas \& Gama~\cite{promptformat2024}","Prompt Formatting Study","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"75","Salinas \& Morstatter~\cite{butterfly2024}","Butterfly Effect Study","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"76","Chen et al.~\cite{promptalchemy2025}","Prompt Alchemy","Benchmark","Code","Task-specific","Automated","Cross-model","Sng","AR"
"77","He et al.~\cite{promptingsecurecode2024}","Secure Code Prompting","Benchmark","Code","Task-specific","Hybrid","Cross-model","Sng","AR"
"78","Hou et al.~\cite{advancedllmsse2024}","LLMs for SE Survey","Benchmark","Code","Task-specific","Automated","Cross-model","NR","NR"
"79","Khojah et al.~\cite{impactpromptprogramming2024}","CodePromptEval","Benchmark","Code","Task-specific","Hybrid","Single-model","Sng","AR"
"80","Koo et al.~\cite{koo2023benchmarking}","Cognitive Biases in LLM Judges","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"81","Ye et al.~\cite{ye2024justice}","Justice or Prejudice","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"82","Zhu et al.~\cite{zhu2023judgelm}","JudgeLM","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"83","Verga et al.~\cite{verga2024replacing}","Panel-of-Judges Evaluation","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"84","Wataoka et al.~\cite{wataoka2024selfpreference}","Self-Preference Bias in LLM-as-Judge","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","Sng","NR"
"85","Sainz et al.~\cite{sainz2023nlp}","NLP Evaluation in Trouble","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","NR","CC"
"86","Deng et al.~\cite{deng2023investigating}","Investigating Data Contamination","Benchmark","Multi-task","Task-specific","Automated","Cross-dataset","NR","CC"
"87","Yang et al.~\cite{yang2023rethinking}","Rethinking Benchmark Contamination","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","CC"
"88","Wang et al.~\cite{wang2024benchmark}","Benchmark Self-Evolving","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","CC+AR"
"89","McIntosh et al.~\cite{mcintosh2024inadequacies}","LLM Benchmark Inadequacies","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"90","Zeng et al.~\cite{zeng2024llmbar}","LLMBar (Eval. Instruction Following)","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","Sng","AR"
"91","Chern et al.~\cite{chern2024scaleeval}","ScaleEval (Agent Debate)","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"92","Li et al.~\cite{li2024leveraging}","LLM-based NLG Evaluation Survey","Benchmark","Generation","Model-based","Automated","Cross-model","NR","NR"
"93","Zhou et al.~\cite{zhou2023instruction}","Instruction-Following Eval (IFEval)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"94","Qin et al.~\cite{qin2024chatgpt}","ChatGPT Sentiment Reasoning","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"95","Mizrahi et al.~\cite{mizrahi2024state}","State of What Art (TACL)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"96","Sivarajkumar et al.~\cite{sivarajkumar2024empirical}","Clinical Prompting Evaluation (JMIR)","Benchmark","Clinical","Task-specific","Automated","Cross-model","MAg","NR"
"97","Polo et al.~\cite{polo2024promptseval}","PromptEval (Multi-Prompt Eval)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","SB","AR"
"98","Jang \& Lukasiewicz~\cite{jang2023consistency}","Consistency Analysis of ChatGPT","Human eval","Multi-task","Hybrid","Manual","Cross-domain","NR","NR"
"99","Fu et al.~\cite{fu2023mme}","MME Multimodal Evaluation","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"100","Bellibaltu et al.~\cite{bellibatlu2026judgesense}","JudgeSense (Judge Sensitivity)","Benchmark","Multi-task","LLM-judge","Automated","Cross-model","SB","AR"
"101","Vatsal \& Singh~\cite{vatsal2025multilingual}","Multilingual PE Survey","Benchmark","Multilingual","Task-specific","Automated","Cross-domain","NR","NR"
"102","Liu et al.~\cite{liu2023agentbench}","AgentBench","Benchmark","Agentic","Task-specific","Automated","Cross-model","Sng","AR"
"103","Ma et al.~\cite{ma2024agentboard}","AgentBoard","Benchmark","Agentic","Task-specific","Automated","Cross-model","MAg","AR"
"104","Liu et al.~\cite{liu2023houyi}","HouYi (Prompt Injection)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"105","Maloyan et al.~\cite{maloyan2025judgevuln}","Judge Vulnerability to Injection","LLM-as-Judge","Multi-task","LLM-judge","Automated","Cross-model","MAg","AR"
"106","Lanham et al.~\cite{lanham2023faithfulness}","CoT Faithfulness Measurement","Benchmark","Reasoning","Task-specific","Automated","Cross-model","MAg","AR"
"107","Chen et al.~\cite{chen2025reasoningmodels}","Reasoning Models Faithfulness","Benchmark","Reasoning","Task-specific","Automated","Cross-model","SB","AR"
"108","Akbar et al.~\cite{akbar2024hallumeasure}","HalluMeasure","LLM-as-Judge","Generation","LLM-judge","Automated","Cross-model","Sng","AR"
"109","Liu et al.~\cite{liu2025multimodalhallu}","RH-Bench (Multimodal Hallu.)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"110","Son et al.~\cite{son2024mmeval}","MM-Eval (Multilingual Judge)","LLM-as-Judge","Multilingual","LLM-judge","Automated","Cross-model","MAg","AR"
"111","Achiam et al.~\cite{achiam2023gpt4}","GPT-4 Technical Report","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","Sng","NR"
"112","Touvron et al.~\cite{touvron2023llama}","LLaMA Foundation Models","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"113","Touvron et al.~\cite{touvron2023llama2}","Llama 2 Open Foundation Models","Benchmark","Multi-task","Hybrid","Hybrid","Cross-model","MAg","AR"
"114","Hurst et al.~\cite{hurst2024gpt4o}","GPT-4o System Card","Benchmark","Multi-task","Hybrid","Automated","Cross-domain","Sng","NR"
"115","Bubeck et al.~\cite{bubeck2023sparks}","Sparks of AGI (GPT-4 study)","Human eval","Multi-task","Hybrid","Manual","Cross-domain","Sng","NR"
"116","Cobbe et al.~\cite{cobbe2021gsm8k}","GSM8K Grade-School Math","Benchmark","Reasoning","Task-specific","Automated","Cross-model","Sng","AR"
"117","Lin et al.~\cite{lin2021truthfulqa}","TruthfulQA","Benchmark","Multi-task","Task-specific","Hybrid","Cross-model","Sng","AR"
"118","Mirzadeh et al.~\cite{mirzadeh2024gsmsymbolic}","GSM-Symbolic","Benchmark","Reasoning","Task-specific","Automated","Cross-model","SB","AR"
"119","Shi et al.~\cite{shi2022mgsm}","MGSM (Multilingual CoT)","Benchmark","Multilingual","Task-specific","Automated","Cross-model","Sng","AR"
"120","Jimenez et al.~\cite{jimenez2023swebench}","SWE-bench","Benchmark","Code","Task-specific","Automated","Cross-model","Sng","AR"
"121","Liu et al.~\cite{liu2023evalplus}","EvalPlus / HumanEval+","Benchmark","Code","Task-specific","Automated","Cross-model","MAg","AR"
"122","Jain et al.~\cite{jain2024livecodebench}","LiveCodeBench","Benchmark","Code","Task-specific","Automated","Cross-model","Sng","CC+AR"
"123","Rozi\`ere et al.~\cite{roziere2023codellama}","Code Llama","Benchmark","Code","Task-specific","Automated","Cross-model","Sng","AR"
"124","Saad-Falcon et al.~\cite{saadfalcon2023ares}","ARES","LLM-as-Judge","QA","LLM-judge","Automated","Cross-model","MAg","AR"
"125","Yu et al.~\cite{yu2024ragsurvey}","Auepora RAG Survey","Benchmark","Multi-task","Hybrid","Automated","Cross-domain","NR","NR"
"126","Chen et al.~\cite{chen2023rgb}","RGB (RAG Benchmark)","Benchmark","QA","Task-specific","Automated","Cross-model","MAg","AR"
"127","Xiong et al.~\cite{xiong2024medrag}","MIRAGE / MedRAG (Medical)","Benchmark","Clinical","Task-specific","Automated","Cross-model","MAg","AR"
"128","Zhao et al.~\cite{zhao2024aigcrag}","RAG-for-AIGC Survey","Benchmark","Multi-task","Hybrid","Automated","Cross-domain","NR","NR"
"129","Wei et al.~\cite{wei2023jailbroken}","Jailbroken (Safety Failure Modes)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"130","Yu et al.~\cite{yu2023gptfuzzer}","GPTFuzzer","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"131","Bhardwaj \& Poria~\cite{bhardwaj2023redeval}","RED-EVAL (Chain of Utterances)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"132","Huang et al.~\cite{huang2023catastrophic}","Catastrophic Jailbreak","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"133","Sharma et al.~\cite{sharma2025constitutional}","Constitutional Classifiers","Benchmark","Multi-task","Task-specific","Automated","Cross-model","SB","AR"
"134","Yi et al.~\cite{yi2024jailbreaksurvey}","Jailbreak Attacks \& Defenses Survey","Benchmark","Multi-task","Task-specific","Automated","Cross-domain","NR","NR"
"135","Gallegos et al.~\cite{gallegos2023bias}","Bias \& Fairness in LLMs Survey","Benchmark","Multi-task","Hybrid","Hybrid","Cross-domain","NR","NR"
"136","Esiobu et al.~\cite{esiobu2023robbie}","ROBBIE (Bias Evaluation)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"137","Xiong et al.~\cite{xiong2023uncertainty}","LLM Confidence Elicitation","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
"138","Geng et al.~\cite{geng2023calibration}","Confidence Calibration Survey","Benchmark","Multi-task","Hybrid","Automated","Cross-domain","NR","NR"
"139","Steyvers et al.~\cite{steyvers2024calibgap}","Calibration Gap (Nature MI)","Human eval","Multi-task","Hybrid","Hybrid","Cross-model","MAg","NR"
"140","Guha et al.~\cite{guha2023legalbench}","LegalBench","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"141","Fei et al.~\cite{fei2023lawbench}","LawBench (Chinese Legal)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"142","Nori et al.~\cite{nori2023gpt4medical}","GPT-4 on Medical Challenges","Benchmark","Clinical","Task-specific","Hybrid","Single-model","MAg","NR"
"143","Strachan et al.~\cite{strachan2024theoryofmind}","Theory of Mind (Nature HB)","Human eval","Multi-task","Hybrid","Hybrid","Cross-model","MAg","AR"
"144","Chang et al.~\cite{chang2025redteamingmed}","Red Teaming ChatGPT in Medicine","Human eval","Clinical","Hybrid","Manual","Cross-model","MAg","NR"
"145","Kim et al.~\cite{kim2025medicalhallu}","Medical Hallucinations Eval","Benchmark","Clinical","Task-specific","Hybrid","Cross-model","MAg","AR"
"146","Hsieh et al.~\cite{hsieh2024ruler}","RULER (Real Context Size)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","SB","AR"
"147","Bai et al.~\cite{bai2023longbench}","LongBench (Bilingual)","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"148","Yen et al.~\cite{yen2024helmet}","HELMET (Long-Context Framework)","Benchmark","Multi-task","Hybrid","Hybrid","Cross-model","MAg","AR"
"149","Yao et al.~\cite{yao2024taubench}","$\tau$-bench (Tool-Agent-User)","Benchmark","Agentic","Task-specific","Automated","Cross-model","MAg","AR"
"150","Liu et al.~\cite{liu2024toolace}","ToolACE (Function Calling)","Benchmark","Agentic","Task-specific","Automated","Cross-model","MAg","AR"
"151","Lambert et al.~\cite{lambert2024rewardbench}","RewardBench","Benchmark","Multi-task","Task-specific","Automated","Cross-model","Sng","AR"
"152","Malik et al.~\cite{malik2025rewardbench2}","RewardBench 2","Benchmark","Multi-task","Task-specific","Automated","Cross-model","MAg","AR"
